[Header]
TITLE, default name
FILEOPENTIME,1608641281.00,12/22/2020,12:48 PM
BYAPP, Resistivity, 2.0, 1.0
INFO, , Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm-m, Sample1 Units
INFO, , Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm-m, Sample2 Units
INFO, , Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm-m, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm-m, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,31056917.204,,1.80024175643921,-140000.21875,5.87874675199031e+022,2.35216251953125,499.995147705078,1.56691659667969,499.995147705078,0,499.995147705078,,,0.000811959394805038,0.000448347394949907,0,,25,2352.16251953125,1566.91659667969,0,
,31056969.766,,1.7999955701828,-140000.16875,5.87874675199031e+022,2.3523156640625,499.995147705078,1.566757421875,499.995147705078,0,499.995147705078,,,0.00072124220137687,0.000635485690905507,0,,25,2352.3156640625,1566.757421875,0,
,31057022.266,,1.8004238319397,-140000.221875,5.87874675199031e+022,2.35202455078125,499.995147705078,1.56660341796875,499.995147705078,0,499.995147705078,,,0.000618941962778863,0.000699705672334132,0,,25,2352.02455078125,1566.60341796875,0,
,31057071.235,,1.80020475387573,-140000.21625,5.87874675199031e+022,2.35230171875,499.995147705078,1.56667098144531,499.995147705078,0,499.995147705078,,,0.000703993720128102,0.000533298936403022,0,,25,2352.30171875,1566.67098144531,0,
,31057123.75,,1.80028478145599,-140000.23375,5.87874675199031e+022,2.3520475390625,499.995147705078,1.56667687988281,499.995147705078,0,499.995147705078,,,0.000756419014126953,0.000704948961468775,0,,25,2352.0475390625,1566.67687988281,0,
,31057172.563,,1.79986936569214,-140000.229375,5.87874675199031e+022,2.352194296875,499.995147705078,1.56676993164062,499.995147705078,0,499.995147705078,,,0.00067745156919998,0.000685126823192764,0,,25,2352.194296875,1566.76993164062,0,
,31057222.297,,1.80022686004639,-140000.264375,5.87874675199031e+022,2.35249758789063,499.995147705078,1.56698889160156,499.995147705078,0,499.995147705078,,,0.000707498297554823,0.000792208233830713,0,,25,2352.49758789062,1566.98889160156,0,
,31057272.766,,1.80011672019958,-140000.243125,5.87874675199031e+022,2.35189682617188,499.995147705078,1.56688451171875,499.995147705078,0,499.995147705078,,,0.000732307688740519,0.000630906748234071,0,,25,2351.89682617188,1566.88451171875,0,
,31057322.485,,1.79995874404907,-140000.228125,5.87874675199031e+022,2.35216274414063,499.995147705078,1.56711396972656,499.995147705078,0,499.995147705078,,,0.000704266845635733,0.000898145603476311,0,,25,2352.16274414062,1567.11396972656,0,
,31057372.375,,1.80011123180389,-140000.2625,5.87874675199031e+022,2.35240046875,499.995147705078,1.56692922363281,499.995147705078,0,499.995147705078,,,0.00076029306797075,0.000898491744860737,0,,25,2352.40046875,1566.92922363281,0,
,31057422.719,,1.79996425628662,-140000.27,5.87874675199031e+022,2.35205458984375,499.995147705078,1.56689136230469,499.995147705078,0,499.995147705078,,,0.00082704406118207,0.000920202366017926,0,,25,2352.05458984375,1566.89136230469,0,
,31057472.297,,1.8001815366745,-140000.261875,5.87874675199031e+022,2.3522108203125,499.995147705078,1.56688826660156,499.995147705078,0,499.995147705078,,,0.000939875308163146,0.000320306141247356,0,,25,2352.2108203125,1566.88826660156,0,
,31057524.313,,1.79996435165405,-140000.2725,5.87874675199031e+022,2.35203344726563,499.995147705078,1.56667654296875,499.995147705078,0,499.995147705078,,,0.0010317861194548,0.000632139808419418,0,,25,2352.03344726563,1566.67654296875,0,
,31057574.829,,1.799955701828,-140000.271875,5.87874675199031e+022,2.3522414453125,499.995147705078,1.56693680664063,499.995147705078,0,499.995147705078,,,0.000824367503109514,0.000712214774633721,0,,25,2352.2414453125,1566.93680664063,0,
,31057625.532,,1.80000295162201,-140000.2675,5.87874675199031e+022,2.35229220703125,499.995147705078,1.56696941894531,499.995147705078,0,499.995147705078,,,0.000823290404689929,0.000789314758525522,0,,25,2352.29220703125,1566.96941894531,0,
,31057675.297,,1.80025601863861,-140000.275,5.87874675199031e+022,2.35227905273437,499.995147705078,1.56656839355469,499.995147705078,0,499.995147705078,,,0.000467555452752765,0.000854218766278616,0,,25,2352.27905273438,1566.56839355469,0,
,31057725.922,,1.80019267559052,-140000.28125,5.87874675199031e+022,2.3523214453125,499.995147705078,1.56675234375,499.995147705078,0,499.995147705078,,,0.000578109793719712,0.000592132629450278,0,,25,2352.3214453125,1566.75234375,0,
,31057774.672,,1.8001486158371,-140000.275,5.87874675199031e+022,2.352264375,499.995147705078,1.56680021972656,499.995147705078,0,499.995147705078,,,0.000999170194392753,0.00126413566616699,0,,25,2352.264375,1566.80021972656,0,
,31057827.391,,1.79996421337128,-140000.260625,5.87874675199031e+022,2.35194846679687,499.995147705078,1.566917421875,499.995147705078,0,499.995147705078,,,0.000664526393317953,0.000554357967901233,0,,25,2351.94846679688,1566.917421875,0,
,31057879.375,,1.80025743961334,-140000.266875,5.87874675199031e+022,2.35234803710938,499.995147705078,1.56699230957031,499.995147705078,0,499.995147705078,,,0.000767967852210281,0.000591578290650612,0,,25,2352.34803710938,1566.99230957031,0,
,31057933.282,,1.80013438224792,-140000.258125,5.87874675199031e+022,2.35202954101562,499.995147705078,1.56699815917969,499.995147705078,0,499.995147705078,,,0.000836048942779835,0.000789185585001478,0,,25,2352.02954101563,1566.99815917969,0,
,31057985.344,,1.8002672290802,-140000.270625,5.87874675199031e+022,2.35230163085938,499.995147705078,1.56679997558594,499.995147705078,0,499.995147705078,,,0.000734836246263573,0.000712795574280765,0,,25,2352.30163085938,1566.79997558594,0,
,31058037.485,,1.80016101837158,-140000.245625,5.87874675199031e+022,2.35198795898438,499.995147705078,1.56662895996094,499.995147705078,0,499.995147705078,,,0.000916813358561846,0.000707323167159541,0,,25,2351.98795898437,1566.62895996094,0,
,31058088.235,,1.80027966499329,-140000.259375,5.87874675199031e+022,2.352469765625,499.995147705078,1.56686319824219,499.995147705078,0,499.995147705078,,,0.000689156181379785,0.00109922378953549,0,,25,2352.469765625,1566.86319824219,0,
,31058142.485,,1.79989179134369,-140000.255,5.87874675199031e+022,2.35234270507813,499.995147705078,1.56687336425781,499.995147705078,0,499.995147705078,,,0.000714436122934515,0.001082504901703,0,,25,2352.34270507813,1566.87336425781,0,
,31058193.829,,1.80015414237976,-140000.2625,5.87874675199031e+022,2.3523911328125,499.995147705078,1.56704460449219,499.995147705078,0,499.995147705078,,,0.000609252696061941,0.000761793634333427,0,,25,2352.3911328125,1567.04460449219,0,
,31058244.11,,1.80007672309875,-140000.263125,5.87874675199031e+022,2.35232111328125,499.995147705078,1.5670728515625,499.995147705078,0,499.995147705078,,,0.000871460103660847,0.000986184697990061,0,,25,2352.32111328125,1567.0728515625,0,
,31058296.204,,1.80046018600464,-140000.28125,5.87874675199031e+022,2.352366875,499.995147705078,1.56707079589844,499.995147705078,0,499.995147705078,,,0.000946778913638912,0.000539064587352126,0,,25,2352.366875,1567.07079589844,0,
,31058348.282,,1.80042061805725,-140000.2775,5.87874675199031e+022,2.35232119140625,499.995147705078,1.56670415527344,499.995147705078,0,499.995147705078,,,0.000711304599434344,0.000718790436100805,0,,25,2352.32119140625,1566.70415527344,0,
,31058400.188,,1.79979677200317,-140000.265,5.87874675199031e+022,2.35219279296875,499.995147705078,1.56715139648438,499.995147705078,0,499.995147705078,,,0.000837864864002312,0.000833916983345823,0,,25,2352.19279296875,1567.15139648438,0,
